,User ID,Post ID,Username,Thread ID,Post Content,Date
0,[464],[66557],ricksanchez,[26236],"Recently, there has been a large influx of new forum threads consisting of trivial questions that have either been answered multiple times on the forum or on our Discord 143. These posts are just not fit for the forum in its current form. We, the Moderators will actively unlist any new threads of that kind popping up. If you’re still not content with the present answers provided on a repeating topic on here, feel free to engage in a healthy and civilized discussion about it on our Discord 143. Chances of you getting a fitting reply in a more timely manner there are way higher anyway  .","Jun 6, 2021 7:37 am"
1,[19087],[73443],sp1der7,[30127],Does anyone here believe that a future cyberpunk world will be possible in maybe a 100 Years or more. I’m referring to the world as being very highly technologically advanced in most or almost every country. Some countries already are at a very high technological stage such as China for example. Let me guys know what you think.,"Jul 9, 2022 2:41 pm"
2,[19149],[73451],fugna,[30127],"Just a personal opinion. To live in a high-tech era, we should before live in a scientific era. 100 years ago we didn’t live in a scientific era, 50 years later neither. And today there are high discrepancies between social and cultural level of education. We don’t live in a scientific era too, and most people needed to make a complex infrastructure efficient and functional  don’t have the information needed. So I don’t believe something like this will be possible so soon, and if someone will try to build it, the only effect possible will be a dystopia, and will become decadent in a matter of years.","Jul 10, 2022 6:05 am"
3,[18593],[73517],Kedislav,[30127],"I think we, as the regular population, are sufficiently technologically advanced; it just so happens that people don’t really understand the nitty gritty details of the tech they use daily. On the other hand, I do believe that automation in the field of warfare and the like will continue advancing, and at the rate the economy is plummeting and how the 1% is becoming richer and richer, revolution has to come sooner or later. Society as a whole is at stake, considering the consequences of climate change, and despots rising to power and being maintained there by lobbying and/or misinformation campaigns. The cyberpunk future in my opinion is already here, has been since the internet left its ARPANET cage and grew into this super-monstrosity, and it has continued to get worse with the Silicon Valley giants owning most of the internet services. Privacy rights have been constantly undermined and exploited by governmental and private interests alike.","Jul 11, 2022 4:49 pm"
4,[19188],[73524],Nunya,[30127],Wanna help with a revolution in the US?,"Jul 12, 2022 12:32 am"
5,[18593],[73570],Kedislav,[30127],"Haha, the whole point of cyber is that countries and borders are no longer a thing, so yeah, sure I guess lol. I do participate in radical communities and help others learn basic privacy measures.","Jul 14, 2022 9:40 pm"
6,[19188],[73673],Nunya,[30127],You make an excellent point and we’d love to have ya on board!,"Jul 19, 2022 6:49 pm"
7,[19413],[73964],Mitch_Krendall,[30127],"No. Within 100 years human society will wipe itself out. That or it will regress towards a non-technological, primitive framework akin to at least that of the pre-industrial revolution.","Jul 30, 2022 6:12 pm"
8,[18434],[71816],zakzallen,[29020],"Hmm… very intriguing. I will take a look.
Thank You! ","Apr 28, 2022 7:34 am"
9,[18517],[72193],flyturk,[29020],Thanks for sharing… Good a knowledge,"May 19, 2022 6:57 am"
10,[15617],[72428],Verarosso,[29020],Thanks! Awesome ,"May 30, 2022 9:35 am"
11,[18772],[72577],fatehshakir,[29020],great work .,"Jun 3, 2022 4:05 am"
12,[24],[72651],Sea,[29020],This is great. One thing that might be good for an update is a set curriculum taking newcomers from C through ASM and through additional topics.,"Jun 6, 2022 6:02 pm"
13,[18795],[72662],tig,[29020],Thanks for sharing. well done ,"Jun 7, 2022 6:56 am"
14,[18985],[73145],Ayamoto,[29020],Do we have to learn C to make good malware or can python or bash be enough?,"Jun 26, 2022 9:24 am"
15,[19009],[73162],cipherkrytor1,[29020],i think python isnt a good language for malware dev,"Jun 27, 2022 10:56 am"
16,[18985],[73163],Ayamoto,[29020],Why do you think it is not suitable,"Jun 27, 2022 11:23 am"
17,[19009],[73166],cipherkrytor1,[29020],because you habe to install python on victim pc. there are powershell scripts that can do that i think. but i am a noob bro so dont take my word.,"Jun 27, 2022 11:33 am"
18,[18985],[73167],Ayamoto,[29020],"Even if I put my python script in an exe, they must still have python? and C it is not the case.","Jun 27, 2022 11:55 am"
19,[19064],[73221],Glorth,[29020],If it’s a .exe you don’t need Python installed.,"Jun 29, 2022 5:04 pm"
20,[18985],[73348],Ayamoto,[29020],That’s what I was thinking so python is cool for malware?,"Jul 6, 2022 6:42 am"
