URL,ThreadID,NumberOfComments
https://0x00sec.org/t/new-faq-and-regarding-trivial-short-forum-posts/26236/3,26236,3
https://0x00sec.org/t/cyberpunk-future/30127/4,30127,4
https://0x00sec.org/t/awesome-malware-development-resources/29020/21,29020,21
https://0x00sec.org/t/c-hash-cracking/1268/2,1268,2
https://0x00sec.org/t/writing-a-simple-rootkit-for-linux/29034/9,29034,9
https://0x00sec.org/t/unpacking-encrypted-router-firmware/29996/1,29996,1
https://0x00sec.org/t/crypters-some-questions/29335/5,29335,5
https://0x00sec.org/t/where-do-i-go-from-here/29799/1,29799,1
https://0x00sec.org/t/intigriti-xss-challenge-0522-writeup/29592/5,29592,5
https://0x00sec.org/t/basic-ransomware-guide/28345/19,28345,19
https://0x00sec.org/t/we-the-ones-who-rule-the-world/7171/3,7171,3
https://0x00sec.org/t/finding-usernames-by-thc-hydra/23419/13,23419,13
https://0x00sec.org/t/extract-chrome-passwords-in-python/29482/1,29482,1
https://0x00sec.org/t/tcp-server-and-tcp-client-in-python/29042/6,29042,6
https://0x00sec.org/t/jailbreaking-t2-chip/25115/3,25115,3
https://0x00sec.org/t/red-team-infrastructure/29056/3,29056,3
https://0x00sec.org/t/journey-of-a-newbie/28890/7,28890,7
https://0x00sec.org/t/reverse-engineering-cheat-sheet/29167/1,29167,1
https://0x00sec.org/t/open-source-reverse-shell/3271/6,3271,6
https://0x00sec.org/t/blumentals-surfblocker-v5-x-password-exploitation-poison/28132/9,28132,9
https://0x00sec.org/t/binary-armory-wiki/25679/11,25679,11
https://0x00sec.org/t/progamming-for-wannabes-xv-crypters-part-iii/27934/7,27934,7
https://0x00sec.org/t/into-the-wild-gaining-access-to-ss7-part-1-finding-an-access-point/12418/45,12418,45
https://0x00sec.org/t/arch-black-0x0/18031/14,18031,14
https://0x00sec.org/t/golang-executing-fileless-scripts/27794/12,27794,12
https://0x00sec.org/t/using-social-engineer-toolkit-tutorial-part-2/28812/2,28812,2
